usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,phi_1,phi_2,phi_3,phi_4
87,3,1,2072,262,241,1.4,1.4,330763,387350,2.6,137,1007096,0.533835702,0.52097063,0.630377283,0.881795403
80,3,1,3662,256,187,1.8,3.79,360623,160015,3.2,159,1008197,0.534419314,0.521317858,0.630513256,0.882071023
89,8,6,2336,206,90,0.4,1,136627,53677,5.4,2869,1008496,0.534577806,0.521412085,0.630550178,0.882145762
92,31,27,366,80,62,0.2,0.2,412220,287099,3.4,4179,1008509,0.534584697,0.521416181,0.630551784,0.882149011
85,7,2,4133,222,154,1.4,1.4,15783,9833,2.8,1297,1009038,0.534865107,0.521582816,0.630617104,0.882281122
88,0,0,3896,199,156,0.6,2.79,130609,63759,2.7,146,1009339,0.535024659,0.521677589,0.630654269,0.882356228
95,9,9,383,122,43,0.2,0.2,361823,114595,2,1390,1009493,0.53510629,0.521726066,0.630673284,0.882394635
90,7,2,2128,183,166,0.8,2.2,89713,240084,3.2,406,1009565,0.535144456,0.521748728,0.630682173,0.882412587
72,18,1,5654,1130,1089,5.2,4,967478,900948,1.7,740,1009667,0.535198523,0.521780829,0.630694767,0.882438015
93,21,29,1670,28,49,0.2,0.2,19096,28284,2.4,124,1010160,0.53545985,0.521935937,0.630755633,0.882560839
95,7,2,1305,89,108,0.6,2.2,121604,89237,1,482,1010584,0.535684602,0.522069271,0.630807976,0.88266637
99,2,1,158,8,9,0.2,0.2,7007,3677,1.2,7739,1010683,0.535737079,0.522100394,0.630820198,0.882690997
75,14,8,5333,193,128,3.58,11.93,46335,36128,3.4,997,1011194,0.536007947,0.522260991,0.630883277,0.882818029
86,1,0,4748,256,168,0.8,3,11643,46726,1.3,726,1011394,0.536113962,0.522323823,0.630907964,0.88286771
72,33,28,5504,439,253,3.4,4.2,395654,70646,2,204,1011407,0.536120853,0.522327907,0.630909569,0.882870939
87,5,2,3841,194,189,0.8,1.99,12984,96970,2,436,1011784,0.536320691,0.522446308,0.630956102,0.882964528
99,1,1,458,21,17,0.2,0.2,8171,5971,1,8968,1011914,0.5363896,0.522487125,0.630972148,0.882996783
62,88,104,5849,473,441,8.4,16,241603,199394,1,153,1011946,0.536406563,0.522497171,0.630976097,0.883004722
84,5,1,2481,219,153,1.4,3,276794,210452,3.8,449,1012024,0.536447909,0.522521658,0.630985725,0.883024069
85,0,0,964,94,50,0.2,0.2,307373,17623,2,666,1012149,0.536514168,0.522560895,0.631001152,0.883055068
89,15,12,1664,109,79,1.2,1,62620,31710,5,244,1012301,0.536594739,0.522608601,0.631019912,0.883092751
89,12,3,2857,159,132,1.6,3,126476,116554,2.2,2989,1012409,0.536651987,0.522642492,0.631033241,0.883119519
92,0,0,1657,43,29,0.2,0.2,9241,12063,2,1050,1012757,0.536836453,0.522751671,0.63107619,0.883205729
91,4,3,2938,148,127,0.6,3.4,18373,38276,2,376,1013046,0.536989644,0.522842309,0.631111855,0.883277274
91,5,1,1965,207,125,0.4,1,193174,22877,3.8,172,1013290,0.537118983,0.522918813,0.631141966,0.883337645
81,7,0,2107,235,154,7.21,3.81,132739,29310,1,318,1013351,0.537151317,0.522937936,0.631149493,0.883352733
90,6,4,1932,66,85,1,0.8,67203,79964,3.5,165,1013560,0.537262103,0.523003446,0.631175283,0.883404413
85,15,10,3781,346,168,2.4,3.21,307016,76305,5.2,155,1013584,0.537274824,0.523010967,0.631178245,0.883410346
81,18,11,4068,280,140,3,4.6,320517,55276,1,489,1013824,0.537402042,0.523086174,0.63120786,0.88346966
97,0,0,237,11,24,0.4,0.4,3108,58724,1,6855,1014005,0.537497986,0.52314288,0.631230194,0.883514373
63,45,0,3575,217,131,11.6,35,197409,41178,2.2,135,1014125,0.537561595,0.523180469,0.631245,0.883544007
85,7,4,3338,734,110,1,1.4,2408325,41666,1.7,2443,1014251,0.537628384,0.523219932,0.631260547,0.883575115
96,3,2,537,22,28,0.2,0.2,11166,12932,1,755,1014422,0.537719027,0.523273481,0.631281646,0.883617319
0,47,64,1364,432,273,0.6,0.6,965273,950976,52,75,1014606,0.53781656,0.52333109,0.631304348,0.883662715
91,21,20,1949,232,153,0.2,0.2,17171,29878,1,508,1014610,0.537818681,0.523332343,0.631304842,0.883663702
94,36,55,4085,156,137,0.2,0.2,8149,6247,2.2,794,1014651,0.537840414,0.523345178,0.6313099,0.883673815
96,0,0,367,62,43,0.4,0.6,38562,12342,1.2,710,1014718,0.537875929,0.523366151,0.631318166,0.883690339
97,1,0,443,54,25,0.2,0.2,31996,16345,3,132,1015162,0.538111282,0.523505102,0.631372944,0.883799783
72,53,71,4201,461,384,4.2,2.8,185684,64437,1.6,240,1015395,0.538234789,0.523577994,0.631401689,0.883857175
91,1,1,600,158,41,0.6,1,476298,133721,3,6006,1016170,0.538645597,0.523820317,0.631497293,0.884047867
86,11,2,2485,265,147,1.4,2.8,496095,18723,1.5,460,1016328,0.538729348,0.523869695,0.631516782,0.884086705
97,15,15,419,189,62,0.2,0.2,322341,310319,2.4,5333,1016429,0.538782886,0.523901255,0.631529241,0.884111525
96,2,1,542,89,65,0.4,0.4,2453,16876,2.2,667,1016476,0.538807799,0.52391594,0.631535038,0.884123073
91,2,1,1125,124,78,0.8,2.4,225895,24254,2,2190,1016550,0.538847025,0.52393906,0.631544166,0.884141253
81,14,3,3542,360,259,3.4,1.2,458811,147720,2,225,1016558,0.538851265,0.523941559,0.631545152,0.884143218
91,3,2,2656,162,110,1.2,2,110401,28047,2,542,1016560,0.538852326,0.523942184,0.631545399,0.88414371
87,17,2,2614,208,113,0.6,1.8,560315,22349,1.8,608,1016749,0.53895251,0.524001225,0.631568711,0.884190128
85,5,2,4313,364,218,0.6,0.6,195525,90675,1.6,170,1016794,0.538976363,0.524015281,0.631574262,0.884201177
91,0,0,1977,256,133,0.6,2.61,225802,37213,2.2,299,1016866,0.539014528,0.524037768,0.631583142,0.884218854
0,54,69,1720,143,105,0.8,1.2,175782,34995,594,88,1016989,0.539079727,0.524076181,0.631598313,0.884249045
95,1,0,2381,118,119,0.2,0.2,17002,111682,2.4,640,1017034,0.539103581,0.524090233,0.631603863,0.884260089
0,24,7,1248,173,105,0.8,2.59,308625,114117,181,87,1017385,0.539289637,0.524199816,0.631647154,0.884346193
93,8,6,1572,121,123,0.4,0.4,25373,68247,4.8,360,1017464,0.539331513,0.524224475,0.631656897,0.884365564
83,20,2,3229,197,115,4.8,5.2,270106,85338,3.8,1491,1017496,0.539348475,0.524234462,0.631660843,0.884373409
92,51,71,1824,161,118,0.6,0.6,78411,94050,1.5,302,1017674,0.539442828,0.524290012,0.631682796,0.88441704
91,41,61,956,101,82,1.6,4.6,49004,29774,6,573,1017909,0.539567396,0.524363335,0.631711777,0.884474617
89,14,12,4004,225,142,0.4,0.4,149008,89163,4.6,218,1018000,0.539615633,0.524391723,0.631723,0.884496905
90,1,0,414,37,34,0.6,1,72460,10038,1.4,4024,1018071,0.539653268,0.52441387,0.631731755,0.884514292
89,29,6,2375,146,123,2,3.19,109539,39984,1,663,1018360,0.539806459,0.524504001,0.631767394,0.884585036
89,35,51,4033,193,155,0.2,0.2,53695,33261,1.5,1038,1018867,0.540075207,0.524662053,0.631829913,0.884709039
91,2,0,3599,227,124,0.4,0.4,247883,214426,3.8,4180,1019464,0.540391661,0.524848053,0.631903523,0.884854883
69,12,0,4951,579,495,9.4,4.4,329231,42171,2.2,984,1020385,0.54087986,0.525134768,0.632017072,0.885079518
86,1,0,2370,216,165,0.6,2.59,91492,123945,1.5,285,1020645,0.541017679,0.525215658,0.632049124,0.885142854
96,2,0,1567,133,137,0.2,0.2,41338,73068,2,6175,1020872,0.541138006,0.525286262,0.632077107,0.885198122
83,26,7,3681,262,137,1.6,3.4,202491,143767,6.2,164,1021181,0.541301799,0.525382345,0.632115197,0.885273312
73,18,0,5276,681,528,8,2.2,353135,151126,6.2,231,1021718,0.541586449,0.525549248,0.632181389,0.885403865
93,18,14,1405,97,75,0.8,0.8,281552,44324,3.4,613,1022195,0.541839294,0.525697424,0.632240181,0.885519707
95,0,0,1425,92,53,0.2,0.2,214550,15664,1,2191,1022235,0.541860497,0.525709846,0.632245111,0.885529416
97,0,0,182,16,30,0.2,0.2,10672,35469,1,2698,1022267,0.54187746,0.525719784,0.632249054,0.885537182
98,0,0,802,28,31,0.2,0.2,4235,54696,1,6799,1022384,0.541939478,0.525756114,0.632263474,0.885565574
93,0,0,1369,245,109,0.2,0.2,27830,389081,2.2,5713,1022437,0.541967572,0.52577257,0.632270006,0.885578433
89,48,68,3283,134,125,0.4,0.4,33832,23626,1,461,1022558,0.542031711,0.525810137,0.632284919,0.885607784
97,0,0,184,11,25,0.2,0.2,2065,10058,1,7733,1023155,0.542348166,0.525995413,0.632358492,0.885752492
81,2,1,2675,143,94,0.2,0.2,304215,19274,3,690,1023574,0.542570267,0.526125378,0.632410124,0.885853945
79,10,0,3003,447,383,9,2.8,273594,10059,3.4,8659,1024850,0.543246641,0.526520812,0.632567346,0.886162349
91,37,37,3127,266,193,0.6,1.8,21713,134601,2.8,360,1025125,0.543392412,0.526605966,0.632601226,0.886228706
82,9,0,2079,316,256,4.41,3.01,158458,40402,2.2,550,1025882,0.543793678,0.526840241,0.632694482,0.886411169
92,0,0,2611,286,167,0.2,0.2,82615,83485,5.2,3047,1026811,0.544286117,0.527127492,0.632808913,0.886634691
93,4,0,973,130,120,0.8,4,56826,40037,2.2,2071,1031155,0.54658876,0.52846694,0.633343796,0.887674054
88,33,42,2995,183,140,0.4,0.4,41711,69821,1,598,1031590,0.546819342,0.528600732,0.63339734,0.887777608
84,116,52,1417,197,142,3.6,6.2,165098,108109,1,311,1031599,0.546824113,0.528603499,0.633398448,0.887779749
93,5,3,842,52,30,1,1.2,118262,20988,1.4,6699,1031914,0.546991086,0.528700344,0.633437219,0.887854675
89,8,0,1803,367,300,0.2,0.2,516137,229603,1.2,130,1032355,0.547224849,0.528835872,0.633491495,0.887959488
86,9,1,2783,391,223,2,3.99,561054,53145,2.8,2783,1032854,0.547489356,0.528989149,0.633552907,0.888077967
76,22,0,2209,254,166,4.8,4.2,145759,100835,2.6,150,1033187,0.547665871,0.529091391,0.633593886,0.888156962
92,4,0,2822,248,157,0.4,0.4,293231,118889,3.2,624,1033502,0.547832844,0.529188073,0.633632648,0.888231636
93,2,2,1447,134,115,0.4,0.4,9940,25644,3.2,1054,1034624,0.548427588,0.529532185,0.633770702,0.888497214
94,2,0,2040,230,91,0.2,0.2,65806,28087,3.4,3917,1034645,0.548438719,0.529538622,0.633773286,0.888502178
0,9,5,1879,318,195,1.2,0.8,1598065,1456441,216,89,1034794,0.5485177,0.529584287,0.633791618,0.888537398
81,37,20,4736,409,305,4.39,2.2,186131,124064,3.6,3551,1035016,0.548635377,0.529652313,0.63381893,0.888589851
72,10,1,3851,489,415,7.8,2.2,371419,94611,2,8226,1035902,0.549105023,0.529923645,0.633927924,0.888798948
0,6,3,1480,84,80,0.4,0.8,3808,46665,502,94,1036022,0.549168631,0.529960375,0.633942686,0.888827237
88,52,60,1367,165,91,1.2,2,40521,32978,1.6,362,1036125,0.549223229,0.529991898,0.633955355,0.888851514
95,13,11,1092,85,46,0.6,3,23660,15429,2.2,4908,1036734,0.549546044,0.530178209,0.634030263,0.888994943
89,0,0,3197,108,72,0.2,0.2,6617,20668,1.8,1399,1036813,0.54958792,0.530202369,0.63403998,0.889013535
90,1,0,725,92,77,0.6,0.6,35358,12244,1.2,673,1036984,0.549678563,0.530254657,0.634061012,0.889053768
73,22,8,6630,202,115,3.8,9.4,279697,9693,5.8,821,1037347,0.54987098,0.530365624,0.634105657,0.889139127
97,0,0,1431,44,55,0.2,0.2,12448,19666,1,566,1037384,0.549890593,0.530376932,0.634110207,0.889147823
86,4,0,2965,268,197,2.81,0.8,352731,28323,2,264,1037405,0.549901724,0.53038335,0.63411279,0.889152759
94,10,9,1339,81,74,1,0.6,13140,25936,1.8,150,1037573,0.549990777,0.530434689,0.634133451,0.889192237
0,39,56,1053,41,40,0.2,0.2,4447,14290,372,95,1037645,0.550028942,0.530456688,0.634142306,0.889209152
79,13,9,1946,223,174,3.79,10.98,526411,33407,1.5,119,1038023,0.55022931,0.530572159,0.634188791,0.889297912
98,0,0,246,46,17,0.2,0.2,252455,4969,1.2,7290,1038488,0.550475795,0.530714143,0.634245972,0.889407003
79,28,36,2862,193,101,3.8,4.2,217700,62552,2.4,390,1038554,0.55051078,0.53073429,0.634254088,0.889422478
80,7,0,5339,364,240,1.4,1.4,671122,426880,6.2,1256,1039062,0.550780057,0.530889313,0.634316551,0.889541518
88,1,0,2967,188,134,0.6,0.6,155568,54454,3.8,802,1039192,0.550848967,0.530928971,0.634332535,0.88957196
78,30,24,1655,106,74,4.41,5.41,139219,47304,3,346,1039227,0.55086752,0.530939647,0.634336839,0.889580155
94,27,37,882,92,71,0.4,0.4,38612,31518,1,148,1039313,0.550913106,0.530965878,0.634347413,0.889600288
80,20,13,4257,403,298,3.01,3.21,236001,145168,2.5,2384,1039615,0.551073188,0.531057974,0.634384543,0.889670957
94,1,0,3017,136,112,0.2,0.2,59665,113330,2.4,434,1040858,0.551732071,0.531436721,0.634537351,0.889961349
79,19,14,3392,577,572,2,2.6,483123,507757,1,546,1041139,0.551881022,0.531522274,0.634571892,0.890026891
60,86,78,6870,484,356,8.2,15,344994,151519,5.4,512,1042494,0.552599272,0.531934461,0.634738432,0.89034239
90,5,2,2561,198,169,3,1,129015,29495,1.6,230,1042981,0.552857418,0.532082461,0.634798279,0.890455562
95,1,1,1693,143,147,0.2,0.2,20310,27719,1.5,521,1043278,0.553014851,0.532172682,0.634834776,0.890524523
0,26,23,2344,421,181,0.6,2.2,635411,590079,816,85,1043605,0.553188185,0.532271984,0.634874957,0.8906004
69,234,88,3259,483,287,6.39,17.17,1023657,222304,4.2,425,1044085,0.553442621,0.532417687,0.634933936,0.890711684
