season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
4,1,9,7,0,5,1,2,0.56,0.5303,0.94,0,10,384,394
4,1,11,12,0,6,0,2,0.36,0.3182,0.46,0.4627,74,320,394
3,0,8,18,0,6,0,1,0.76,0.7121,0.58,0.2537,169,225,394
2,0,6,16,0,6,0,2,0.8,0.7273,0.46,0.194,169,225,394
3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394
3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,71,323,394
2,1,3,19,0,5,1,1,0.4,0.4091,0.62,0.2239,42,353,395
2,1,5,19,1,1,0,1,0.8,0.7576,0.55,0.2985,148,247,395
4,1,10,9,0,6,0,1,0.6,0.5909,0.73,0.194,130,265,395
4,1,11,16,0,2,1,2,0.42,0.4242,0.62,0.0896,60,335,395
4,0,11,8,0,5,1,2,0.4,0.4091,0.87,0.3582,8,387,395
3,1,7,10,0,6,0,1,0.82,0.7727,0.52,0.2239,129,266,395
4,1,10,19,0,2,1,3,0.62,0.5455,0.94,0,27,368,395
4,1,10,15,0,5,1,1,0.64,0.6061,0.65,0.2985,93,302,395
3,1,7,20,0,1,1,1,0.78,0.697,0.43,0.1343,38,357,395
2,1,4,16,0,1,1,1,0.5,0.4848,0.34,0.3284,104,291,395
3,1,8,9,0,2,1,2,0.7,0.6667,0.79,0.1642,44,351,395
2,1,5,13,0,5,1,1,0.64,0.6212,0.36,0.1642,98,297,395
3,1,8,9,0,5,1,2,0.74,0.697,0.66,0.1045,69,327,396
2,0,6,12,0,0,0,2,0.74,0.6818,0.55,0.0896,141,255,396
3,1,8,10,0,6,0,1,0.82,0.7727,0.57,0.194,108,288,396
4,0,12,17,0,3,1,2,0.36,0.3636,0.57,0.1045,19,377,396
3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,171,225,396
4,1,12,7,0,1,1,2,0.34,0.3636,0.93,0,9,387,396
3,0,6,19,0,1,1,1,0.72,0.6818,0.62,0.194,56,340,396
2,0,4,8,0,3,1,1,0.62,0.6061,0.69,0.4627,22,374,396
2,1,6,21,0,3,1,1,0.64,0.6212,0.44,0.3582,79,317,396
1,1,2,17,0,5,1,2,0.34,0.3333,0.42,0.194,15,381,396
3,1,8,9,0,4,1,1,0.7,0.6515,0.58,0,57,339,396
2,0,5,18,0,3,1,1,0.42,0.4242,0.67,0.2537,29,367,396
3,0,9,19,0,2,1,1,0.68,0.6364,0.69,0.1642,55,341,396
4,1,11,19,0,3,1,1,0.3,0.303,0.52,0.1642,28,368,396
4,1,10,8,1,1,0,2,0.36,0.3485,0.71,0.2239,23,374,397
3,1,7,21,0,3,1,1,0.72,0.6515,0.45,0.1343,71,326,397
2,0,4,15,0,6,0,1,0.6,0.5909,0.73,0.3881,171,226,397
3,1,8,19,0,6,0,1,0.82,0.7727,0.52,0.3582,133,264,397
2,0,6,17,0,0,0,1,0.74,0.6667,0.51,0,159,238,397
4,0,10,11,0,6,0,1,0.58,0.5455,0.56,0,176,221,397
4,1,11,9,1,1,0,1,0.44,0.4394,0.88,0.1045,60,337,397
2,1,6,15,0,5,1,1,0.76,0.6667,0.29,0.2836,98,299,397
4,0,10,18,0,5,1,2,0.44,0.4394,0.54,0.2537,43,354,397
4,0,12,8,0,1,1,1,0.2,0.197,0.75,0.194,8,389,397
3,0,8,19,0,1,1,1,0.7,0.6515,0.65,0,54,343,397
4,0,10,8,0,1,1,2,0.42,0.4242,0.88,0.1642,20,378,398
2,1,5,16,0,3,1,1,0.72,0.6667,0.51,0.1642,46,352,398
3,1,7,7,0,1,1,1,0.74,0.6667,0.51,0.1045,8,390,398
3,0,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398
2,0,4,8,0,4,1,2,0.66,0.6061,0.78,0.4478,31,367,398
4,0,12,17,0,2,1,1,0.36,0.3485,0.4,0.194,17,381,398
3,0,7,19,0,1,1,1,0.8,0.7576,0.55,0.2239,63,335,398
3,1,6,21,0,4,1,1,0.76,0.697,0.55,0.194,89,309,398
2,1,5,20,0,4,1,2,0.66,0.6212,0.69,0.2836,55,343,398
2,0,6,16,0,0,0,1,0.72,0.6667,0.51,0.0896,138,260,398
3,0,8,8,0,5,1,2,0.66,0.6061,0.83,0,30,368,398
3,0,7,19,0,2,1,1,0.82,0.7424,0.43,0.2985,69,329,398
2,0,5,18,0,5,1,3,0.52,0.5,0.88,0.1642,39,359,398
3,0,7,16,0,6,0,1,0.88,0.7424,0.22,0.2239,206,192,398
4,1,12,7,0,3,1,3,0.46,0.4545,0.59,0.2985,9,389,398
3,0,8,17,0,0,0,1,0.76,0.6818,0.4,0.2985,145,253,398
3,1,8,9,0,5,1,1,0.74,0.697,0.7,0,61,337,398
2,0,5,18,0,5,1,2,0.72,0.6818,0.62,0.2985,89,310,399
1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343,12,387,399
1,1,3,15,0,6,0,1,0.48,0.4697,0.29,0.2985,145,254,399
3,0,6,17,0,6,0,1,0.74,0.6667,0.42,0.2239,152,247,399
4,0,11,17,0,4,1,1,0.32,0.2879,0.42,0.3881,20,379,399
4,0,12,18,0,1,1,1,0.44,0.4394,0.77,0,13,386,399
2,1,6,20,0,6,0,1,0.62,0.6212,0.35,0.2836,139,260,399
4,1,9,14,0,5,1,2,0.7,0.6515,0.54,0.2537,105,294,399
3,0,8,8,0,3,1,1,0.74,0.6667,0.51,0.194,38,361,399
2,1,4,9,0,2,1,1,0.6,0.6212,0.38,0.4925,71,329,400
4,1,10,14,0,5,1,1,0.74,0.6515,0.37,0.2239,113,287,400
3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400
4,0,9,18,0,6,0,1,0.64,0.5909,0.78,0.1045,157,243,400
3,0,6,19,0,4,1,1,0.72,0.6818,0.7,0.3582,56,344,400
4,0,10,8,0,2,1,1,0.44,0.4394,0.77,0.2239,28,372,400
4,0,12,8,0,2,1,1,0.2,0.2273,0.69,0.1045,9,391,400
4,1,12,16,0,0,0,2,0.38,0.3939,0.82,0.1045,66,334,400
4,1,11,16,0,6,0,2,0.36,0.3333,0.46,0.3284,108,292,400
4,1,10,9,0,5,1,1,0.5,0.4848,0.39,0.2985,26,374,400
4,1,9,18,0,0,0,1,0.52,0.5,0.59,0.4478,91,310,401
3,0,6,8,0,2,1,2,0.62,0.5606,0.88,0.1045,33,368,401
1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836,133,268,401
3,0,6,19,0,3,1,1,0.76,0.6667,0.35,0.3881,60,341,401
2,1,5,7,0,4,1,1,0.44,0.4394,0.72,0.2985,8,393,401
3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0,160,241,401
2,0,5,12,0,0,0,2,0.72,0.6667,0.51,0.194,146,255,401
3,1,7,15,0,2,1,2,0.9,0.7727,0.24,0,71,330,401
2,0,5,19,0,3,1,1,0.56,0.5303,0.52,0.1343,60,341,401
3,1,7,10,0,6,0,2,0.72,0.6818,0.7,0.0896,123,278,401
4,0,10,8,0,5,1,1,0.4,0.4091,0.62,0.194,16,386,402
4,0,11,8,0,4,1,2,0.34,0.3485,0.81,0.0896,8,394,402
3,0,9,11,0,0,0,1,0.7,0.6515,0.65,0,144,258,402
3,0,8,18,0,0,0,1,0.74,0.6667,0.42,0.2239,145,257,402
2,1,5,19,0,0,0,1,0.66,0.6212,0.61,0.4179,142,260,402
2,1,4,16,0,4,1,1,0.5,0.4848,0.31,0.194,84,318,402
3,1,8,9,0,2,1,2,0.7,0.6667,0.74,0,48,354,402
4,1,10,14,0,0,0,2,0.5,0.4848,0.59,0.4478,98,304,402
4,1,12,19,0,3,1,2,0.3,0.2879,0.56,0.2239,18,384,402
4,0,10,16,1,1,0,2,0.7,0.6364,0.45,0.0896,154,248,402
2,0,5,12,0,0,0,2,0.7,0.6667,0.74,0.2239,216,186,402
3,1,7,19,0,5,1,2,0.64,0.5758,0.83,0.2836,44,358,402
4,1,11,16,0,2,1,1,0.34,0.3333,0.46,0.1642,33,369,402
2,1,4,20,0,2,1,1,0.6,0.6061,0.23,0.2836,44,358,402
3,0,7,15,0,6,0,1,0.84,0.7273,0.34,0.0896,182,220,402
2,1,6,7,0,5,1,2,0.64,0.5758,0.89,0.194,33,369,402
3,1,7,16,0,2,1,1,0.76,0.7121,0.58,0.2239,66,336,402
2,0,5,16,0,6,0,1,0.76,0.697,0.55,0.2836,201,201,402
4,1,10,20,0,1,1,1,0.5,0.4848,0.59,0.1045,21,382,403
4,1,10,9,0,5,1,2,0.54,0.5152,0.88,0.1343,56,347,403
4,1,11,17,0,6,0,1,0.38,0.3939,0.4,0.1642,101,302,403
3,1,8,17,0,6,0,2,0.66,0.6212,0.74,0.3284,132,271,403
2,1,6,12,0,5,1,1,0.7,0.6364,0.45,0.1642,111,292,403
3,0,6,15,0,0,0,1,0.74,0.6515,0.4,0,174,229,403
3,1,7,20,0,1,1,1,0.76,0.7121,0.62,0.1642,56,347,403
3,1,9,19,0,0,0,1,0.62,0.6212,0.5,0.1343,91,312,403
4,1,12,11,0,6,0,2,0.4,0.4091,0.87,0.1045,63,341,404
2,1,5,19,0,5,1,1,0.74,0.6818,0.62,0.2537,111,293,404
4,0,12,8,0,1,1,1,0.32,0.3485,0.93,0,12,392,404
4,0,10,8,0,3,1,2,0.54,0.5152,0.88,0.3881,27,377,404
3,0,8,8,0,1,1,1,0.62,0.6212,0.57,0.2537,20,384,404
2,1,4,11,0,0,0,1,0.5,0.4848,0.25,0.2836,195,209,404
3,1,6,10,0,6,0,1,0.88,0.7727,0.3,0.2537,96,308,404
3,1,6,15,0,6,0,1,0.88,0.7727,0.3,0.2537,117,287,404
3,0,7,12,0,0,0,1,0.8,0.7576,0.55,0.1045,198,206,404
2,1,4,20,0,4,1,1,0.56,0.5303,0.49,0.2239,52,352,404
1,1,2,16,0,6,0,1,0.44,0.4394,0.44,0.3284,186,218,404
3,0,9,12,0,6,0,1,0.72,0.6818,0.62,0.2239,144,260,404
2,1,6,10,0,0,0,1,0.62,0.6212,0.43,0.2239,127,277,404
3,0,7,13,0,6,0,1,0.82,0.7121,0.3,0.1045,178,226,404
4,0,9,18,0,0,0,1,0.68,0.6364,0.74,0,125,279,404
3,0,9,15,0,0,0,1,0.74,0.6667,0.51,0.2985,134,270,404
3,0,8,8,0,5,1,1,0.66,0.6061,0.83,0.1045,17,387,404
2,0,6,15,0,6,0,2,0.74,0.6515,0.27,0.4179,180,224,404
2,0,4,19,0,4,1,1,0.62,0.6212,0.43,0.2985,57,347,404
3,1,9,20,0,5,1,1,0.66,0.6212,0.61,0.1045,67,337,404
2,0,6,11,0,6,0,1,0.72,0.6818,0.62,0.1343,134,270,404
2,0,5,19,0,3,1,1,0.7,0.6515,0.61,0.1343,73,332,405
4,1,11,16,0,5,1,1,0.4,0.4091,0.43,0.1343,37,368,405
4,1,11,10,0,0,0,1,0.4,0.4091,0.69,0.1045,133,272,405
4,0,10,16,0,0,0,1,0.52,0.5,0.55,0.194,188,217,405
4,0,12,18,0,4,1,1,0.36,0.3636,0.43,0.1045,12,393,405
2,1,5,17,1,1,0,1,0.82,0.7879,0.56,0.2985,158,247,405
4,0,10,17,0,0,0,1,0.58,0.5455,0.49,0.4627,152,253,405
1,1,2,18,0,1,1,1,0.34,0.3182,0.25,0.2537,6,399,405
2,1,5,19,0,6,0,2,0.62,0.5909,0.73,0.3284,151,254,405
4,1,11,18,0,0,0,1,0.52,0.5,0.45,0.1343,102,303,405
4,1,10,13,1,1,0,2,0.42,0.4242,0.62,0.194,82,323,405
1,0,12,8,0,3,1,3,0.36,0.3788,0.93,0,12,393,405
1,1,2,18,0,2,1,2,0.38,0.3939,0.46,0.2985,8,398,406
1,1,3,15,0,6,0,1,0.34,0.3636,0.25,0,132,274,406
4,1,11,19,0,1,1,2,0.4,0.4091,0.58,0.2836,25,381,406
3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.194,164,242,406
4,0,10,8,0,2,1,2,0.56,0.5303,0.83,0.1045,31,375,406
4,1,12,16,0,4,1,1,0.34,0.3485,0.39,0.1045,50,356,406
1,1,1,18,0,4,1,2,0.42,0.4242,0.71,0,12,394,406
2,1,4,10,0,6,0,1,0.46,0.4545,0.51,0.1642,139,267,406
2,1,4,7,0,4,1,2,0.4,0.4091,0.82,0.1343,15,391,406
2,0,5,8,0,2,1,1,0.78,0.7424,0.59,0.1343,34,372,406
3,1,8,16,0,4,1,1,0.82,0.7576,0.46,0.194,71,335,406
3,1,9,20,0,4,1,1,0.66,0.6061,0.78,0.2239,50,356,406
2,1,6,20,0,3,1,1,0.86,0.7727,0.39,0.2239,81,326,407
3,1,9,19,0,6,0,1,0.7,0.6515,0.58,0.194,99,308,407
3,1,8,7,0,1,1,3,0.72,0.6818,0.7,0.194,14,393,407
1,1,1,16,0,6,0,1,0.42,0.4242,0.44,0.3582,131,276,407
3,1,8,10,0,6,0,1,0.72,0.6818,0.62,0.0896,125,282,407
2,0,4,17,0,6,0,1,0.56,0.5303,0.43,0.1343,162,245,407
4,0,11,8,0,1,1,2,0.42,0.4242,0.94,0,13,394,407
4,1,11,15,0,0,0,1,0.42,0.4242,0.54,0.2836,89,318,407
2,0,6,19,0,1,1,1,0.72,0.6667,0.54,0.194,64,343,407
2,1,4,15,0,5,1,1,0.64,0.6212,0.47,0.194,145,262,407
4,0,9,12,0,6,0,2,0.62,0.5758,0.83,0.0896,141,266,407
1,1,2,17,0,1,1,1,0.36,0.3485,0.23,0.194,8,399,407
4,0,10,15,0,0,0,1,0.68,0.6364,0.51,0.1642,198,209,407
3,0,8,18,0,4,1,2,0.72,0.7121,0.84,0.1343,31,377,408
2,1,4,9,0,2,1,1,0.42,0.4242,0.38,0.0896,54,354,408
2,1,4,15,0,6,0,1,0.42,0.4242,0.41,0.2239,148,260,408
4,0,11,18,0,3,1,1,0.44,0.4394,0.67,0.1045,21,387,408
4,0,10,14,0,0,0,1,0.52,0.5,0.55,0.2239,192,216,408
1,1,3,18,0,5,1,3,0.48,0.4697,0.82,0.0896,31,377,408
2,1,6,20,0,3,1,1,0.54,0.5152,0.73,0.2836,59,349,408
3,0,9,8,0,1,1,1,0.6,0.5758,0.78,0.0896,26,382,408
3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0,235,173,408
2,1,6,20,0,5,1,1,0.72,0.6515,0.32,0.1343,117,291,408
4,0,10,8,0,2,1,1,0.44,0.4394,0.72,0,25,383,408
3,0,7,15,1,1,0,1,0.82,0.7424,0.43,0.0896,224,184,408
3,0,9,18,0,3,1,3,0.64,0.5758,0.83,0.1642,24,384,408
3,1,9,13,0,5,1,2,0.7,0.6515,0.54,0.194,107,301,408
4,1,11,7,0,3,1,2,0.26,0.2576,0.56,0.194,6,403,409
3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409
3,1,9,12,0,5,1,2,0.7,0.6515,0.54,0.194,119,290,409
2,1,5,8,0,2,1,2,0.58,0.5455,0.88,0.0896,8,401,409
3,1,6,14,0,6,0,1,0.88,0.7727,0.3,0.2537,114,295,409
4,1,9,9,0,2,1,1,0.54,0.5152,0.56,0.2537,28,381,409
2,0,6,17,0,4,1,1,0.9,0.8182,0.37,0.2537,54,355,409
3,0,8,12,0,6,0,1,0.74,0.6818,0.58,0.1343,156,253,409
3,0,9,8,0,5,1,1,0.42,0.4242,0.67,0.2239,23,386,409
2,0,5,8,0,1,1,1,0.6,0.5455,0.88,0.194,50,359,409
3,1,9,20,0,3,1,1,0.52,0.5,0.48,0.1642,31,378,409
4,1,10,19,0,3,1,2,0.4,0.4091,0.5,0.194,27,383,410
1,1,3,12,0,0,0,1,0.4,0.4091,0.37,0.2985,146,264,410
4,0,11,8,0,1,1,2,0.3,0.3182,1,0.0896,13,397,410
1,1,1,15,0,6,0,1,0.4,0.4091,0.47,0.3284,90,320,410
4,1,11,17,0,6,0,2,0.36,0.3333,0.46,0.2985,112,298,410
2,0,5,19,0,4,1,1,0.58,0.5455,0.6,0.1343,65,345,410
2,0,5,17,0,3,1,1,0.4,0.4091,0.71,0.2537,22,388,410
3,1,8,12,0,5,1,1,0.86,0.7424,0.26,0.2537,120,290,410
3,0,9,18,0,5,1,1,0.7,0.6667,0.79,0.194,33,377,410
3,1,7,7,0,5,1,1,0.72,0.6818,0.7,0.194,13,397,410
4,1,9,13,0,5,1,2,0.7,0.6515,0.51,0.2537,106,304,410
3,0,8,18,0,5,1,2,0.74,0.7121,0.74,0.1343,40,370,410
1,1,2,18,0,4,1,1,0.4,0.4091,0.43,0.4627,17,393,410
4,1,11,7,0,4,1,2,0.3,0.2879,0.65,0.194,7,403,410
3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410
3,0,9,15,0,0,0,1,0.78,0.7576,0.66,0.2836,218,192,410
1,1,1,18,0,1,1,1,0.34,0.3333,0.23,0.1642,11,399,410
4,0,12,17,0,5,1,1,0.42,0.4242,0.38,0,20,391,411
3,0,9,12,0,0,0,1,0.7,0.6515,0.65,0,113,298,411
2,1,4,13,0,5,1,1,0.44,0.4394,0.33,0.3284,173,238,411
2,1,4,17,0,0,0,1,0.62,0.6061,0.22,0.2985,185,226,411
2,1,5,10,0,6,0,1,0.56,0.5303,0.49,0.0896,132,279,411
2,0,4,17,0,2,1,1,0.56,0.5303,0.6,0.1045,39,372,411
4,0,12,18,0,2,1,1,0.38,0.3939,0.66,0.194,26,385,411
3,1,7,16,0,3,1,1,0.8,0.7121,0.38,0.194,53,358,411
2,1,4,11,0,0,0,1,0.46,0.4545,0.51,0,128,283,411
3,1,9,14,0,5,1,1,0.7,0.6515,0.54,0.2985,113,299,412
3,1,9,20,0,3,1,1,0.72,0.7121,0.84,0.1642,55,357,412
2,0,4,18,0,3,1,3,0.66,0.6061,0.83,0.3881,46,366,412
4,0,10,18,0,1,1,2,0.4,0.4091,0.76,0.1642,28,384,412
3,1,8,9,0,4,1,2,0.7,0.6515,0.7,0,58,354,412
4,0,10,15,0,0,0,1,0.62,0.6212,0.35,0.3881,182,230,412
1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194,19,393,412
2,1,4,19,0,5,1,1,0.48,0.4697,0.23,0.2985,115,297,412
3,0,7,8,0,2,1,2,0.76,0.7273,0.7,0.1642,31,381,412
4,0,9,12,0,0,0,2,0.66,0.6061,0.78,0,143,270,413
3,1,7,16,0,1,1,1,0.78,0.697,0.4,0.2836,88,325,413
4,0,10,12,0,0,0,1,0.5,0.4848,0.59,0.2537,164,249,413
3,1,7,17,0,0,0,1,0.92,0.803,0.26,0.2985,90,323,413
3,0,8,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413
4,1,12,16,0,6,0,1,0.4,0.4091,0.5,0.1343,85,328,413
2,1,6,10,0,0,0,1,0.76,0.6818,0.4,0.1045,148,265,413
4,1,11,14,0,3,1,1,0.46,0.4545,0.33,0.194,84,329,413
1,1,1,17,0,4,1,2,0.42,0.4242,0.71,0,16,397,413
2,1,4,19,0,6,0,1,0.54,0.5152,0.16,0.3284,170,243,413
4,1,10,18,0,0,0,1,0.52,0.5,0.39,0.194,71,342,413
4,1,9,19,0,0,0,1,0.52,0.5,0.42,0.1642,82,331,413
3,0,8,19,0,3,1,1,0.8,0.697,0.26,0.2537,79,334,413
4,1,10,20,0,3,1,1,0.5,0.4848,0.72,0.1343,54,360,414
4,0,10,18,0,0,0,1,0.64,0.6212,0.5,0.1045,186,228,414
4,1,12,19,0,3,1,1,0.38,0.3939,0.43,0.3582,14,400,414
3,0,7,16,0,0,0,1,0.84,0.803,0.53,0.2985,195,219,414
3,0,7,17,0,4,1,1,0.92,0.9091,0.45,0.2985,40,374,414
3,1,6,16,0,1,1,1,0.8,0.697,0.31,0.3881,104,310,414
3,1,7,9,0,5,1,2,0.72,0.6667,0.51,0,70,344,414
3,1,7,19,0,2,1,3,0.7,0.6667,0.74,0.2239,55,359,414
4,0,10,8,0,1,1,2,0.5,0.4848,0.51,0.2537,33,381,414
4,0,12,8,0,2,1,2,0.46,0.4545,0.94,0.194,13,401,414
2,1,5,11,0,0,0,1,0.56,0.5303,0.73,0.1045,144,270,414
2,1,3,14,0,0,0,2,0.44,0.4394,0.88,0.1642,123,291,414
3,1,7,17,1,3,0,1,0.92,0.8485,0.35,0.2985,161,253,414
2,1,6,20,0,2,1,1,0.56,0.5303,0.49,0.2239,44,371,415
3,0,9,8,0,4,1,2,0.6,0.5,1,0.1642,26,389,415
4,0,10,13,0,0,0,1,0.52,0.5,0.55,0.194,160,255,415
4,1,11,7,0,3,1,1,0.24,0.2121,0.65,0.2836,10,405,415
2,1,5,18,0,6,0,2,0.76,0.697,0.52,0.194,199,216,415
2,1,5,7,0,4,1,1,0.6,0.5606,0.83,0.1045,22,393,415
4,1,10,20,0,4,1,1,0.42,0.4242,0.62,0.1642,27,388,415
2,0,4,12,0,6,0,1,0.52,0.5,0.42,0.3881,178,238,416
2,1,4,18,0,6,0,2,0.68,0.6364,0.47,0.4925,133,283,416
2,1,6,13,0,5,1,1,0.74,0.6515,0.37,0.2537,129,287,416
3,1,6,16,0,2,1,1,0.72,0.6364,0.26,0.4925,67,349,416
3,1,9,16,0,4,1,1,0.74,0.697,0.7,0.2239,42,374,416
3,0,8,19,0,1,1,1,0.82,0.7424,0.43,0.1045,64,352,416
3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0,171,245,416
3,0,8,19,0,1,1,1,0.7,0.6364,0.3,0.2836,66,350,416
3,1,8,20,0,1,1,1,0.74,0.697,0.7,0.194,50,366,416
1,1,3,19,0,4,1,2,0.6,0.6212,0.4,0.4478,21,395,416
2,0,6,19,0,3,1,1,0.7,0.6364,0.37,0.2836,54,362,416
3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,167,249,416
4,0,11,18,0,1,1,1,0.56,0.5303,0.64,0.2239,20,396,416
1,1,3,19,0,6,0,1,0.58,0.5455,0.64,0.2836,155,262,417
4,0,10,8,0,5,1,1,0.46,0.4545,0.82,0,31,386,417
2,0,5,18,0,2,1,1,0.84,0.803,0.53,0.194,55,362,417
4,1,12,12,0,0,0,2,0.38,0.3939,0.82,0.194,67,350,417
4,1,12,15,0,0,0,1,0.44,0.4394,0.67,0.1343,106,311,417
3,1,9,20,0,4,1,1,0.56,0.5303,0.64,0.1343,57,360,417
3,1,8,16,0,4,1,1,0.86,0.7727,0.39,0.2537,97,320,417
2,0,6,15,0,0,0,1,0.7,0.6515,0.54,0,161,256,417
2,1,3,19,0,2,1,1,0.42,0.4242,0.17,0,40,377,417
1,1,2,8,0,1,1,1,0.1,0.1212,0.54,0.1343,4,413,417
3,1,9,10,0,6,0,2,0.78,0.7273,0.55,0.194,128,289,417
3,0,7,8,0,2,1,1,0.76,0.7121,0.58,0.2239,35,382,417
1,1,2,18,0,4,1,1,0.34,0.3333,0.31,0.1642,13,404,417
4,1,12,16,0,5,1,1,0.38,0.3939,0.54,0.194,45,372,417
4,0,12,17,0,4,1,1,0.36,0.3485,0.46,0.1343,9,409,418
2,1,4,7,0,3,1,2,0.5,0.4848,0.39,0.194,10,408,418
4,0,10,13,0,0,0,1,0.66,0.6212,0.44,0.0896,225,193,418
2,0,5,11,0,6,0,1,0.64,0.6212,0.53,0.1343,173,245,418
3,0,7,18,1,1,0,1,0.8,0.7273,0.46,0.1343,222,196,418
2,1,5,7,0,3,1,2,0.56,0.5303,0.94,0.194,17,401,418
4,1,11,7,0,2,1,1,0.32,0.3333,0.76,0.0896,7,411,418
2,0,5,13,0,0,0,1,0.72,0.6818,0.7,0.2836,237,181,418
2,0,5,8,0,5,1,1,0.66,0.6212,0.74,0.2836,25,393,418
3,1,7,19,0,5,1,1,0.88,0.7879,0.35,0.2239,112,306,418
3,0,7,19,0,3,1,1,0.7,0.6667,0.79,0.1045,79,340,419
1,1,1,8,0,5,1,1,0.24,0.2121,0.52,0.3582,11,408,419
4,0,10,16,0,5,1,1,0.64,0.6212,0.44,0,73,346,419
4,1,11,12,1,1,0,1,0.56,0.5303,0.64,0.2239,105,314,419
1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,28,391,419
2,0,5,16,0,5,1,2,0.76,0.697,0.55,0.3881,63,356,419
3,1,7,18,0,0,0,1,0.8,0.7121,0.41,0.2985,117,302,419
3,1,8,16,0,4,1,1,0.82,0.7121,0.32,0.2239,79,340,419
2,1,3,17,0,0,0,1,0.5,0.4848,0.72,0.0896,146,273,419
3,0,9,13,0,0,0,2,0.78,0.7424,0.62,0.2836,245,174,419
4,0,11,8,0,2,1,1,0.36,0.3333,0.71,0.2537,17,402,419
2,0,4,14,0,0,0,1,0.7,0.6515,0.54,0.3284,197,223,420
4,1,11,7,0,4,1,2,0.36,0.3485,0.57,0.1642,6,414,420
4,1,10,14,1,1,0,2,0.42,0.4242,0.58,0.1045,121,299,420
3,0,8,8,0,4,1,1,0.66,0.6212,0.74,0.2836,27,393,420
2,0,6,12,0,6,0,1,0.7,0.6364,0.32,0.1642,150,270,420
2,0,6,12,0,0,0,1,0.82,0.7576,0.46,0,176,244,420
4,1,11,13,1,1,0,1,0.6,0.6061,0.6,0.2239,108,312,420
3,1,7,13,0,0,0,1,0.92,0.8333,0.33,0.2537,111,309,420
3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420
2,0,6,12,0,6,0,1,0.74,0.697,0.66,0.0896,162,258,420
2,1,5,20,0,4,1,1,0.64,0.6061,0.73,0.194,52,368,420
1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896,13,407,420
4,0,9,17,0,0,0,1,0.68,0.6364,0.74,0,145,275,420
3,0,9,19,0,4,1,2,0.64,0.5758,0.89,0.0896,32,388,420
